Latitude (decimal degrees):	45.752
Longitude (decimal degrees):	4.949
Elevation (m):	195
Radiation database:	PVGIS-SARAH2


Slope: 37 deg. (optimum)
Azimuth: -2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,8.23,2.0,0.0
20180101:0110,0.0,0.0,0.0,7.6,1.93,0.0
20180101:0210,0.0,0.0,0.0,6.99,1.93,0.0
20180101:0310,0.0,0.0,0.0,6.16,1.93,0.0
20180101:0410,0.0,0.0,0.0,5.37,1.93,0.0
20180101:0510,0.0,0.0,0.0,4.52,2.0,0.0
20180101:0610,0.0,0.0,0.0,4.08,1.86,0.0
20180101:0710,0.0,0.0,0.0,3.43,2.0,0.0
20180101:0810,37.38,57.55,5.99,3.3,2.0,0.0
20180101:0910,462.11,536.95,12.97,5.11,2.14,0.0
20180101:1010,275.1,323.86,18.07,7.02,2.9,0.0
20180101:1110,167.88,206.31,20.83,8.22,4.0,0.0
20180101:1210,86.08,115.58,20.97,8.38,4.62,0.0
20180101:1310,73.45,101.03,18.45,8.36,5.52,0.0
20180101:1410,14.48,29.35,13.57,7.54,5.66,0.0
20180101:1510,27.86,46.7,6.75,7.12,5.66,0.0
20180101:1610,0.0,0.0,0.0,7.2,5.79,0.0
20180101:1710,0.0,0.0,0.0,6.95,5.24,0.0
20180101:1810,0.0,0.0,0.0,6.67,4.41,0.0
20180101:1910,0.0,0.0,0.0,6.59,3.03,0.0
20180101:2010,0.0,0.0,0.0,6.78,3.38,0.0
20180101:2110,0.0,0.0,0.0,6.57,4.14,0.0
20180101:2210,0.0,0.0,0.0,6.44,4.07,0.0
20180101:2310,0.0,0.0,0.0,6.05,3.38,0.0
20180102:0010,0.0,0.0,0.0,5.39,3.1,0.0
20180102:0110,0.0,0.0,0.0,4.9,2.97,0.0
20180102:0210,0.0,0.0,0.0,4.69,2.9,0.0
20180102:0310,0.0,0.0,0.0,4.61,2.76,0.0
20180102:0410,0.0,0.0,0.0,4.68,2.76,0.0
20180102:0510,0.0,0.0,0.0,4.37,2.55,0.0
20180102:0610,0.0,0.0,0.0,3.87,1.86,0.0
20180102:0710,0.0,0.0,0.0,2.73,1.45,0.0
20180102:0810,49.4,71.38,6.0,2.05,1.59,0.0
20180102:0910,54.36,77.72,13.0,4.15,1.17,0.0
20180102:1010,53.22,77.04,18.12,5.75,1.38,0.0
20180102:1110,371.41,434.63,20.91,6.39,1.86,0.0
20180102:1210,156.05,192.9,21.06,6.91,2.48,0.0
20180102:1310,122.62,155.79,18.56,7.32,3.03,0.0
20180102:1410,101.62,131.88,13.69,6.92,2.9,0.0
20180102:1510,56.82,81.38,6.88,6.55,2.83,0.0
20180102:1610,0.0,0.0,0.0,6.28,2.97,0.0
20180102:1710,0.0,0.0,0.0,5.94,3.24,0.0
20180102:1810,0.0,0.0,0.0,5.84,3.59,0.0
20180102:1910,0.0,0.0,0.0,6.66,3.59,0.0
20180102:2010,0.0,0.0,0.0,6.75,3.38,0.0
20180102:2110,0.0,0.0,0.0,6.83,3.24,0.0
20180102:2210,0.0,0.0,0.0,7.05,3.1,0.0
20180102:2310,0.0,0.0,0.0,7.3,3.03,0.0
20180103:0010,0.0,0.0,0.0,7.47,3.03,0.0
20180103:0110,0.0,0.0,0.0,7.7,2.97,0.0
20180103:0210,0.0,0.0,0.0,7.31,3.1,0.0
20180103:0310,0.0,0.0,0.0,7.62,3.1,0.0
20180103:0410,0.0,0.0,0.0,8.11,3.52,0.0
20180103:0510,0.0,0.0,0.0,8.7,4.07,0.0
20180103:0610,0.0,0.0,0.0,9.34,4.62,0.0
20180103:0710,0.0,0.0,0.0,10.66,4.62,0.0
20180103:0810,24.99,43.68,6.02,10.94,4.34,0.0
20180103:0910,78.56,107.95,13.04,11.6,3.72,0.0
20180103:1010,284.99,342.09,18.18,12.65,3.93,0.0
20180103:1110,298.27,355.78,20.99,12.58,5.59,0.0
20180103:1210,130.89,167.88,21.16,12.05,5.86,0.0
20180103:1310,120.47,155.61,18.68,11.36,4.83,0.0
20180103:1410,72.86,101.14,13.82,10.58,3.24,0.0
20180103:1510,31.83,52.13,7.02,9.4,2.28,0.0
20180103:1610,0.0,0.0,0.0,8.94,2.14,0.0
20180103:1710,0.0,0.0,0.0,8.73,2.83,0.0
20180103:1810,0.0,0.0,0.0,8.23,2.69,0.0
20180103:1910,0.0,0.0,0.0,8.18,1.1,0.0
20180103:2010,0.0,0.0,0.0,7.96,1.66,0.0
20180103:2110,0.0,0.0,0.0,8.02,2.07,0.0
20180103:2210,0.0,0.0,0.0,8.14,2.21,0.0
20180103:2310,0.0,0.0,0.0,8.21,2.34,0.0
20180104:0010,0.0,0.0,0.0,8.12,2.83,0.0
20180104:0110,0.0,0.0,0.0,8.0,3.24,0.0
20180104:0210,0.0,0.0,0.0,7.89,3.66,0.0
20180104:0310,0.0,0.0,0.0,8.1,3.59,0.0
20180104:0410,0.0,0.0,0.0,8.67,3.38,0.0
20180104:0510,0.0,0.0,0.0,9.35,3.24,0.0
20180104:0610,0.0,0.0,0.0,10.0,3.03,0.0
20180104:0710,0.0,0.0,0.0,9.41,2.55,0.0
20180104:0810,16.37,32.19,6.05,9.82,2.48,0.0
20180104:0910,57.37,83.06,13.08,10.44,2.62,0.0
20180104:1010,465.19,553.8,18.24,11.36,2.69,0.0
20180104:1110,20.16,37.6,21.08,12.17,2.83,0.0
